Aerodromo_de_Destino,Aerodromo_de_Origem,CLS,Categoria_da_Aeronave,Classificacao_da_Ocorrência,Danos_a_Aeronave,Data_da_Ocorrencia,Descricao_do_Tipo,Fase_da_Operacao,Historico,Hora_da_Ocorrência,ICAO,Ilesos_Passageiros,Ilesos_Tripulantes,Latitude,Lesoes_Desconhecidas_Passageiros,Lesoes_Desconhecidas_Terceiros,Lesoes_Desconhecidas_Tripulantes,Lesoes_Fatais_Passageiros,Lesoes_Fatais_Terceiros,Lesoes_Fatais_Tripulantes,Lesoes_Graves_Passageiros,Lesoes_Graves_Terceiros,Lesoes_Graves_Tripulantes,Lesoes_Leves_Passageiros,Lesoes_Leves_Terceiros,Lesoes_Leves_Tripulantes,Longitude,Matricula,Modelo,Municipio,Nome_do_Fabricante,Numero_da_Ficha,Numero_da_Ocorrencia,Numero_de_Assentos,Operacao,Operador,Operador_Padronizado,PMD,PSSO,Regiao,Tipo_ICAO,Tipo_de_Aerodromo,Tipo_de_Ocorrencia,UF
null,null,L1P,TPP,Acidente,Destruída,1997-01-16,PERDA DE CONTROLE EM VOO,Em rota,"A aeronave decolou do aeródromo de Franca (SP) com destino ao aeródromo de Congonhas (SP), com 06 pessoas a bordo. Durante a realização do procedimento de descida por instrumentos para o destino, houve a perda de contato radar por parte do órgão de controle de tráfego aéreo. Cinco horas após o seu desaparecimento, o avião foi encontrado pela equipe de busca a 14,6 NM de SBSP. A aeronave havia colidido com o solo, ficando totalmente destruída. Todos os ocupantes faleceram no local.",10:44:00,null,0,0,null,0,0,0,5,0,1,0,0,0,0,0,0,null,PTCSN,150L,Santana de Parnaíba,CESSNA AIRCRAFT,PT-CSN 16 JAN 1997,11361,2,Voo Privado,Wanderley Silveira,Wanderley Silveira,726,verdadeiro,Sudeste,C150,null,LOC-I,SP
XXXX,XXXX,null,TPP,Acidente,Substancial,2013-07-25,PERDA DE CONTROLE NO SOLO,Corrida após pouso,"A aeronave encontrada por equipe de segurança da Usina Ipê. A equipe contra incêndio da referida usina realizou o combate ao fogo. Nenhum tripulante foi encontrado no local.NOTA: As marcas da aeronave não foram identificadas, recorrendo-se ao recurso de identificá-la como PR-XXX, a fim de poder registrar a ocorrência no SIGIPAER.",20:00:00,null,0,0,"-21,2017",0,0,0,0,0,0,0,0,0,0,0,0,"-51,4131",PRXXX1,null,NOVA INDEPENDÊNCIA,null,1455/2013,4493,null,Voo Privado,,,null,falso,Sudeste,null,null,LOC-G,SP
SBSR,SBKP,L2T,TPR,Incidente,Nenhum,2014-01-18,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Aproximação,"A aeronave ATR 72-600 efetuava voo de linha AD4310, de SBKP para SBSR. Durante aproximação final, a cerca de 200FT de altura, o motor esquerdo apresentou mensagem de ENG FLAME OUT, ocasionando embandeiramento automático da respectiva hélice.  A tripulação realizou procedimentos previstos no SOP da empresa e prosseguiu com a aproximação efetuando pouso normalmente. Não houve declaração de emergência ou urgência. Após o pouso a tripulação taxiou para o gate, estacionou e cortou os motores. A aeronave foi parada e após coordenação com o oficial de permanência do CENIPA, foi liberada para pesquisa e reparo da pane. Os PAX desembarcaram normalmente.",11:39:00,null,51,4,"-20,8161",0,0,0,0,0,0,0,0,0,0,0,0,"-49,4047",PRATZ,ATR-72-212A,SÃO JOSÉ DO RIO PRETO,AEROSPATIALE AND ALENIA,0104/2014,4597,75,Voo Regular,AZUL,AZUL,23000,verdadeiro,Sudeste,AT72,null,SCF-PP,SP
SITJ,SSDL,L2P,TPP,Acidente,Substancial,2012-09-12,OUTROS,Aproximação,"O piloto declarou que, no procedimento para pouso em SITJ, notou que havia pane no trem auxiliar, que não atuou de forma alguma. O mesmo decidiu prosseguir para SNBS por haver maior disponibilidade de pavimento de pista, além de oferecer melhor acesso aos bombeiros e ambulância.O comandante conseguiu contato rádio em voo, em 123.45, onde declarou emergência para outro piloto que voava próximo, e este acionou os bombeiros e demais recursos. Ainda em voo, um soldado do corpo de bombeiros orientou o piloto quanto ao combustível remanescente e este optou por sobrevoar SNBS para consumir combustível.Após, aproximadamente, 15 minutos de sobrevoo, o piloto preparou os passageiros e prosseguiu para pouso na cabeceira 15, optando por manter os trens travados em cima.Após o cruzamento da cebeceira 15, efetuou o corte dos motores, desligou magnetos e bateria, e recolheu os flapes, prosseguindo para o pouso sem trem. Em seguida da parada total da aeronave, todos os passageiros abandonaram a aeronave em segurança, e os bombeiros e a ambulância já chegaram para prestar o apoio e isolaram a área.Não houve fogo, nm danos a terceiros.",20:50:00,null,3,1,"-7,52528",0,0,0,0,0,0,0,0,0,0,0,0,"-46,0533",PTRCA,EMB-810C,BALSAS,EMBRAER,1805/2012,3432,7,Voo Privado,CIA AGRIGOLA DO RIBEIRÃO,CIA AGRIGOLA DO RIBEIRAO,2073,verdadeiro,Nordeste,PA34,null,OTHR,MA
,,L2J,TPX,Ocorrência Anormal,null,2010-10-12,null,null,"A AERONAVE ERA PROCEDENTE DE COMANDATUBA-BA E APOS O POUSO EM CONGONHAS NA PISTA 17R, NAO OBTEVE COMANDO DO STEERING. AO LIVRAR A PISTA NA TAXIWAY D O SISTEMA DIRECIONAL NAO MAIS RESPONDEU AO COMANDO DO PILOTO, IMPOSSIBILITANDO O TAXI DA AERONAVE, COM ISSO, A REFERIDA TAXIWAY FICOU INTERDITADA POR 40 MINUTOS, DE 15:07 ?S 15:47 HORA LOCAL. AERONAVE FOI TRATORADA ATE O HANGAR SEM MAIORES DIFICULDADES.",null,null,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,null,PPLRR,60,null,LEARJET,67/2010,1296,10,Táxi Aéreo,COLT TÁXI AÉREO S/A.,COLT TAXI AEREO S/A,10319,verdadeiro,Sudeste,LJ60,null,null,SP
,,L2P,PRI,Ocorrência de Solo,null,2010-05-28,null,null,MECANICO HABILITADO EXECUTAVA REVISAO DE CALAGEM DE MAGNETOS NO MOTORESQUERDO DA AERONAVE QUANDO NA COMPRESSAO IDEAL DO MOTOR O MESMOSOLTOU A HELICE E O REFLUXO DA MESMA ATIGIU SEU BRAÇO DIREITO CAUSANDO UMCORTE NO ANTEBRAÇO SEM ATINGIR TECIDO OSSEO,null,null,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,null,PTDHU,PA-30,null,PIPER AIRCRAFT,52/2010,925,4,Voo de Instrução,AEROCLUBE DE JUIZ DE FORA,AEROCLUBE DE JUIZ DE FORA,1633,verdadeiro,Sudeste,PA30,null,null,MG
,,H1P,TPP,Acidente,null,2011-03-27,PERDA DE CONTROLE EM VOO,null,"A AERONAVE INICIALMENTE FEZ UMA DECOLAGEM VERTICAL. APÓS ATINGIR CEM PÉS DE ALTURA INICIOU DECOLAGEM NORMAL; OCORRENDO UMA QUEDA DE POTENCIA DO MOTOR E PERDA DE CONTROLE. HOUVE UMA TENTATIVA DE RETORNAR AO PONTO DE DECOLAGEM, MAS A AERONAVE VEIO A TOCAR O TELHADO E O ESQUI ESQUERDO AFUNDOU NA TELHA VINDO A TOMBAR SOFRENDO UMA COLISÃO DO ROTOR PRINCIPAL NO TELHADO, FICANDO SUSPENSO NA ESTRUTURA DO PRÉDIO. OS OCUPANTES FORAM RETIRADOS POR FUNCIONÁRIOS COM AUXÍLIO DE UMA ESCADA.",null,null,2,1,null,0,0,0,0,0,0,0,0,0,1,0,0,null,PPMIE,R44,null,ROBINSON HELICOPTER,35/2011,1934,4,Voo Privado,BENETTI-PREST.DE SERVS.E INCORPORAD.LTDA,BENETTI-PREST.DE SERVS.E INCORPORAD.LTDA,1089,verdadeiro,Sudeste,R44,null,LOC-I,SP
,,L2J,TPR,Incidente Grave,null,2010-05-20,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,null,"A AERONAVE INICIA A CORRIDA DE DECOLAGEM NA PISTA 29L DE SBBR E IMEDIATAMENTEANTES DA V1 SENTE UMA FORTE VIBRAÇÃO, APARENTEMENTE PROVENIENTE DO TREM DEPOUSO. APÓS A DECOLAGEM CESSA A VIBRAÇÃO MAS AO TENTAR RECOLHER O TREM DEPOUSO, VERIFICAM QUE A ALAVANCA ESTÁ TRAVADA. COMO PREVISTO NO PROCEDIMENTO PARA ESTE CASO, APÓS 400FT SURGE A INFORMAÇÃO DE GRD/FLD CONTROL SENSOR,INDICANDO FALHA NESTE SENSOR FAZENDO COM QUE O SISTEMA ENTENDA QUE A AERONAVE AINDA ESTÁ NO SOLO. A TRIPULAÇÃO SOLICITA O RETORNO A BRASILIA E, APÓS UM POUSO NORMAL PERCEBE UMA FORTE VIBRAÇÃO ABAIXO DE 100KT. A AERONAVE FOI CONTROLADA POREM COM DIFICULDADES PARA SE MANTER NO EIXO DA PISTA VISTO A VIBRAÇÃO QUE SE APRESENTAVA. A AERONAVE PAROU QUASE NO FINAL DA PISTA E APÓS A AVALIAÇÃO DOS PILOTOS FOI REALIZADO O DESEMBARQUE DOS PASSAGEIROS NA PISTA PELA ESCADA, NA PORTA PRINCIPAL.",null,null,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,null,PROAD,F28MK0100,null,FOKKER,185/2010,915,107,Voo Regular,OCEANAIR,OCEANAIR,44450,verdadeiro,Centro-Oeste,F100,null,SCF-NP,DF
,,L1P,PRI,Ocorrência Anormal,null,2011-03-09,null,null,"AERONAVE SOLICITOU ACIONAMENTO PARA VOO LOCAL DE TGL E, POSTERIORMENTE, SOLICITOU PROSSEGUIR PARA OFICINA DEVIDO GOTEJAMENTO DO FILTRO DE COMBUSTIVEL.",null,null,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,null,PPGMR,AB-115,null,AERO BOERO,14/2011,1480,2,Voo de Instrução,AEROCLUBE DE LONDRINA,AEROCLUBE DE LONDRINA,770,verdadeiro,Sul,AB11,null,null,PR
,,L1P,S05,Acidente,null,2011-06-02,COMBUSTÍVEL,null,"Após sobrevoar uma area de plantio para avaliação quanto a pulverização de defensivos agricolas, a aeronave PT-OVJ retornou ao aerodromo de Janauba. Nesse retorno, o motor da aeronave começou a falhar e o piloto procurou uma area descampada para o pouso. Apos o pouso, sendo o terreno desnivelado, a aeronave pilonou e danificando a sua estrutura. O piloto foi retirado por habitantes do local e depois levado a um hospital pelo Bombeiro da região.",null,null,0,1,null,0,0,0,0,0,0,0,0,0,0,0,0,null,PTOVJ,PA-25-235,null,PIPER AIRCRAFT,89/2011,2131,1,Operação Agrícola,AVIACAO AGRIC.ANTONIO & CARMELIA LTDA,AVIACAO AGRICOLA ANTONIO E CARMELIA LTDA,1315,verdadeiro,Sudeste,PA25,null,FUEL,MG
,,L1P,TPX,Incidente,null,2011-05-16,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,null,"Pousou pela cabeceira 08 e logo apÓs o pneu estourou. A referida aeronave ficou estacionada na intersecao principal da pista, onde a SCI prestou auxilio com os Bombeiros, Sgt Farias, Sgt Janio e Sd Frank. NÃo houve interdiÇÃo das operaÇÕes no SBBV um vez que a ANV nÃo ficou na pista. Houve auxilio da viatura INFRAERO (Fiscalizacao-COA) dirigida pelo Fiscal Sr. Joselito. As 15:10 a aeronave foi retirada do local, logo apÓs de ser feita a troca do pneu pelos mecanicos da empresa Roraima Taxi Aereo, a qual a mesma pertence.",null,null,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,null,PTOND,U206G,null,CESSNA AIRCRAFT,19/2011,2090,6,Táxi Aéreo,RORAIMA TÁXI AÉREO LTDA,RORAIMA TAXI AEREO LTDA,1633,verdadeiro,Norte,C206,null,SCF-NP,RR
SNFB,SWNS,L1P,TPP,Incidente Grave,Leve,2018-09-30,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Em rota,"A AERONAVE DECOLOU DO AERÓDROMO CIVIL DE ANÁPOLIS, GO (SWNS), COM DESTINO AO AERÓDROMO DA FAZENDA CACHOEIRA DO BAMBUZAL, EM ITAGUARI, GO (SNFB), SOMENTE COM O PILOTO A BORDO. AO LIVRAR A TERMINAL ANÁPOLIS, PASSADOS 35 MINUTOS DE VOO, A AERONAVE APRESENTOU QUEDA NA PRESSÃO DE ÓLEO, OCASIONANDO A REPENTINA PARADA DO MOTOR. O PILOTO, ENTÃO, EFETUOU POUSO FORÇADO NA RODOVIA GO-559, NAS PROXIMIDADES DA CIDADE DE ITAUÇU, GO. A AERONAVE TEVE DANOS LEVES. O PILOTO SAIU ILESO.",18:15:00,null,0,1,"-16,2111",0,0,0,0,0,0,0,0,0,0,0,0,"-49,7342",PRNOU,PA-28R-201T,ITAUÇU,PIPER AIRCRAFT,201810041925116,8143,4,Voo Privado,EDVALDO DA SILVA LINHARES NETTO,EDVALDO DA SILVA LINHARES NETTO,1315,verdadeiro,Centro-Oeste,P28R,null,SCF-PP,GO
null,null,L1P,S05,Incidente Grave,Leve,2020-02-27,COLISÃO COM FAUNA,Decolagem,"A aeronave decolou de uma área de pouso para uso aeroagrícola, localizada na fazenda Nossa Senhora de Fátima, município de Vila Rica, MT, por volta das 11h30min (UTC), a fim de realizar aplicação de defensivos agrícolas em lavoura, com apenas um piloto a bordo. Durante a corrida de decolagem a aeronave chocou-se com um porco que adentrou à pista. O piloto perdeu o controle da aeronave, tendo sua parada total dentro dos limites da área de pouso. A aeronave teve danos leves. O tripulante saiu ileso.",11:30:00,APUA,0,1,"-9,83305",0,0,0,0,0,0,0,0,0,0,0,0,"-50,8478",PTWXI,EMB-202A,VILA RICA,EMBRAER,PT-WXI 27FEV2020 11H30 SERIPA6,11165,1,Operação Agrícola,FLORIDA AVIAÇÃO AGRÍCOLA LTDA ME,FLORIDA AVIACAO AGRICOLA LTDA ME,1800,verdadeiro,Centro-Oeste,IPAN,APUA,WILD,MT
,,null,ESTRANGEIRA,Incidente,null,2011-12-03,FOGO/FUMAÇA,null,"ANV LIBEROU A POSIÇÃO I-03 AS 19H50 ROLOU E DECOLOU PELA CABECEIRA 09R AS 20H12 COM DETISNO PARA FRNK FURT. E SOLICITOU RETORNO PARA GRU, POUSANDO PELA CABECEIRA 09R ÀS 23H01 E CALÇOU NA POSIÇÃO F-03 ÀS 23H13.HOUVE PANE ELÉTRICA, FUMAÇA NA CABINE E NA PRIMEIRA CLASSE.",null,null,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,null,DABVE,null,null,null,7891/2011,2668,null,Voo Regular,LUFTHANSA,LUFTHANSA,null,falso,Sudeste,null,null,F-NI,SP
SBSP,XXXX,H2T,TPX,Incidente,Leve,2013-06-17,COLISÃO COM AVE,Em rota,Colisão com ave (urubu) após manobra de tentativa de desvio sem sucesso. A ave mergulhou e atingiu as carenagens superiores logo abaixo do rotor. Ocorrida a 800 AGL. A aeronave continuou voando normalmente tendo o impacto ocorrido com a velocidade de aproximadamente 145 KT.,18:30:00,null,0,2,"-23,45",0,0,0,0,0,0,0,0,0,0,0,0,"-46,7583",PPALS,EC 155 B1,SÃO PAULO,EUROCOPTER FRANCE,1179/2013,4207,10,Táxi Aéreo,METRO TAXI AEREO LTDA,METRO TAXI AEREO LTDA,4920,verdadeiro,Sudeste,EC55,null,BIRD,SP
SBBI,SBMG,L2T,TPP,Acidente,Substancial,2013-01-17,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Partida do motor,"AERONAVE ESTAVA EM FRENTE AO HANGAR DA EMPRESA SKY, QUANDO APÓS O ACIONAMENTO DO MOTOR ESQUERDO, A BEQUILHA (TREM DE NARIZ) RECOLHEU. HOUVE DANOS GRAVES `A AERONAVE. NÃO HOUVE DANOS A TERCEIROS.",11:10:00,null,2,1,"-23,4794",0,0,0,0,0,0,0,0,0,0,0,0,"-52,0122",PTOVE,PA-31T1,MARINGÁ,PIPER AIRCRAFT,0087/2013,3733,7,Voo Privado,EXECUTIVE AIR TAXI AEREO LTDA,EXECUTIVE AIR TAXI AEREO LTDA,3946,verdadeiro,Sul,PAY1,null,SCF-NP,PR
SWRD,SBCY,L1P,TPP,Acidente,Substancial,2012-12-05,EXCURSÃO DE PISTA,Pouso,"A aeronave decolou de Cuiabá (SBCY) com destino a Rondonópolis (SWRD) com cinco pessoas a bordo. Segundo relato do piloto, a aproximadamente 10 minutos para pouso em SWRD, foram encontradas condições meteorológicas adversas, obrigando-o a realizar o pouso numa pista não homologada localizada na Fazenda Mirandópolis, em Juscimeira-MT. Durante a corrida após pouso, a aeronave a saiu da pista.",12:30:00,null,4,1,"-16,3614",0,0,0,0,0,0,0,0,0,0,0,0,"-55,0792",PTVPM,EMB-720D,JUSCIMEIRA,NEIVA,2482/2012,3721,6,Voo Privado,ERAI MAGGI SCHEFFER,ERAI MAGGI SCHEFFER,1633,verdadeiro,Centro-Oeste,PA32,null,RE,MT
SBAU,SSJZ,L1P,TPP,Acidente,Substancial,2018-03-22,COMBUSTÍVEL,Aproximação,"DURANTE A APROXIMAÇÃO FINAL PARA POUSO NO AERÓDROMO DE ARAÇATUBA (SBAU), O MOTOR PERDEU POTÊNCIA E A AERONAVE COLIDIU CONTRA O SOLO.",18:15:00,null,0,0,"-21,1519",0,0,0,0,0,0,0,0,0,0,0,1,"-50,4308",PRCOW,210M,ARAÇATUBA,CESSNA AIRCRAFT,PR-COW 22MAR2018 18H15 SERIPA4,7767,6,Voo Privado,JOSE LUIS SOARES FERREIRA,JOSE LUIS SOARES FERREIRA,1724,verdadeiro,Sudeste,C210,null,FUEL,SP
SBGL,SBGL,null,ESTRANGEIRA,Incidente,Nenhum,2017-08-21,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Subida,"APÓS A DECOLAGEM, A AERONAVE APRESENTOU FALHA NO MOTOR 03. O PILOTO RETORNOU PARA O SBGL, POUSANDO NA RWY 15/33.",04:09:00,null,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,null,SABYA,null,RIO DE JANEIRO,null,201708231347053,7489,null,Voo Regular,OPERADOR ESTRANGEIRO,OPERADOR ESTRANGEIRO,null,falso,Sudeste,null,null,SCF-PP,RJ
SIQE,SWUZ,L1P,PET,Acidente,Substancial,2017-08-12,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Decolagem,"A AERONAVE DECOLOU DO AERÓDROMO DO BOTELHO (SIQE) COM DESTINO AO AERÓDROMO DE LUZIÂNIA (SWUZ), ONDE EFETUOU ABASTECIMENTO E POSTERIORMENTE REALIZARIA RETORNO AO AERÓDROMO DO BOTELHO. APÓS A DECOLAGEM DA CABECEIRA 11 DO AERÓDROMO DE LUZIÂNIA (SWUZ) A AERONAVE APRESENTOU APARENTE FALHA DE MOTOR. O PILOTO EXECUTOU UMA CURVA DE 180º COM O INTUITO DE RETORNAR À PISTA. A AERONAVE VEIO A COLIDIR CONTRA O SOLO NAS PROXIMIDADES DA CABECEIRA 11 DE LUZIÂNIA (SWUZ). O PILOTO TEVE FERIMENTOS GRAVES E A AERONAVE APRESENTOU DANOS SUBSTANCIAIS.",20:30:00,SWUZ,0,0,"-16,2606",0,0,0,0,0,1,0,0,0,0,0,0,"-47,9739",PUMON,EXCEL CARGO,LUZIÂNIA,AVENOR AUGUSTO MONTANDON,201708142001521,7473,2,Voo Privado,ROGER PINTO MOLINA,ROGER PINTO MOLINA,750,falso,Centro-Oeste,ULAC,Público,SCF-PP,GO
SSUV,SBGU,L2P,TPP,Acidente,Destruída,2018-07-22,INDETERMINADO,Indeterminada,"A AERONAVE DECOLOU DO AERÓDROMO TANCREDO THOMAS DE FARIA (SBGU), NO MUNICÍPIO DE GUARAPUAVA, PR , POR VOLTA DAS 12 HORAS E 00 MINUTOS (UTC), COM DESTINO AO AERÓDROMO DE UNIÃO DA VITÓRIA (SSUV), PR , PARA REALIZAR TRANSPORTE DE PASSAGEIRO, COM DOIS TRIPULANTES E UM PASSAGEIRO A BORDO. AFASTADO, APROXIMADAMENTE, 17 NM DE SSUV, A AERONAVE COLIDIU COM A COPA DE ALGUMAS ÁRVORES E IMPACTOU COM O SOLO. A AERONAVE FICOU DESTRUÍDA. OS PILOTOS E O PASSAGEIRO FALECERAM.",12:40:00,null,0,0,"-26,2139",0,0,0,1,0,2,0,0,0,0,0,0,"-50,7486",PRDMC,PA-34-220T,PAULA FREITAS,PIPER AIRCRAFT,201807241935347,7945,6,Voo Privado,SIDERQUIMICA INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS S/A,SIDERQUIMICA INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS S/A,2155,verdadeiro,Sul,PA34,null,UNK,PR
SBCG,SBCG,L1P,PRI,Acidente,Substancial,2018-04-10,COLISÃO COM FAUNA,Arremetida,"A AERONAVE DECOLOU, COM UM INSTRUTOR E UMA ALUNA A BORDO, PARA UM VOO VISUAL NOTURNO DE INSTRUÇÃO LOCAL. APÓS O TERCEIRO POUSO, A AERONAVE SAIU DA PISTA PELA LATERAL ESQUERDA. A AERONAVE SOFREU DANOS SUBSTANCIAIS. OS OCUPANTES SAÍRAM ILESOS. FOI ENCONTRADA UMA CAPIVARA MORTA SOBRE A PISTA DE POUSO.",23:40:00,null,0,0,"-20,4694",0,0,0,0,0,0,0,0,0,0,0,0,"-54,6703",PRWDB,150M,CAMPO GRANDE,CESSNA AIRCRAFT,PR-WDB 10ABR2018 23H40 SERIPA4,7923,2,Voo de Instrução,FLY COMPANY ESCOLA DE AVIAÇÃO CIVIL LTDA,FLY COMPANY ESCOLA DE AVIACAO CIVIL LTDA,726,verdadeiro,Centro-Oeste,C150,null,WILD,MS
SBCG,SBGO,L2J,TPR,Incidente,Nenhum,2017-03-31,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Aproximação,DURANTE APROXIMAÇÃO PARA POUSO OCORREU INDICAÇÃO DE BAIXA QUANTIDADE DE ÓLEO NO SISTEMA HIDRÁULICO#2. AERONAVE ARREMETEU E APÓS REALIZAR OS PROCEDIMENTOS PREVISTOS NO QRH HOUVE A NECESSIDADE DE DECLARAR URGÊNCIA (PAN-PAN). O POUSO OCORREU SEM INTERCORRÊNCIAS. AERONAVE LIVROU A PISTA E PAROU NA TWY PARA SER REBOCADA ATÉ O ESTACIONAMENTO. OS PASSAGEIROS FORAM DESEMBARCADOS NORMALMENTE NO TERMINAL. NÃO HOUVE QUALQUER INTERCORRÊNCIA ENTRE OS CLIENTES.,01:18:00,null,0,0,"-20,4694",0,0,0,0,0,0,0,0,0,0,0,0,"-54,6703",PRAYI,ERJ 190-200 LR,CAMPO GRANDE,EMBRAER,201703311448133/2017,7340,125,Voo Regular,AZUL,AZUL,50790,verdadeiro,Centro-Oeste,E190,null,SCF-NP,MS
SNDP,SWPY,L2T,TPP,Acidente,Substancial,2018-05-30,EXCURSÃO DE PISTA,Corrida após pouso,"A AERONAVE DECOLOU DO AERÓDROMO DE PRIMAVERA DO LESTE (SWPY), MT, PARA O AERÓDROMO DERSO PORTILHO VIEIRA (SNDP), NO MUNICÍPIO DE SÃO FÉLIX DO ARAGUAIA, MT, COM UM PILOTO E DOIS PASSAGEIROS A BORDO. DURANTE O POUSO, A AERONAVE RECOLHEU OS TRENS DE POUSO AUXILIAR E PRINCIPAIS. A PARADA TOTAL DA AERONAVE DEU-SE EM ÁREA DE LAVOURA NA LATERAL DIREITA DA PISTA. A AERONAVE TEVE DANOS SUBSTANCIAIS. O TRIPULANTE E OS PASSAGEIROS SAÍRAM ILESOS.",11:32:00,SNDP,2,1,"-11,4253",0,0,0,0,0,0,0,0,0,0,0,0,"-52,2189",PRVIM,C90A,SÃO FELIX DO ARAGUAIA,RAYTHEON AIRCRAFT,201806041847206,7866,8,Voo Privado,SINAGRO PRODUTOS AEROPECUÁRIOS S/A,SINAGRO PRODUTOS AEROPECUARIOS S/A,4581,verdadeiro,Centro-Oeste,BE9L,Privado,RE,MT
SNRU,SNGN,L1P,PRI,Incidente,Nenhum,2013-12-16,OUTROS,Em rota,"A aeronave decolou da cidade de Caruaru-PE para realizar um voo de treinamento de navegação por contato, com a previsão de pousar e arremeter numa pista localizada em Garanhuns-PE. Na etapa final do voo de treinamento, realizado a 1000 ft de altura, nas proximidades do município de Matriz de Camaragibe-AL, ao verificar a indicação dos liquidômetros, o piloto identificou que o combustível remanescente não era suficiente para completar o voo e decidiu realizar um pouso de precaução numa área que se assemelhava a uma pista de terra. Após o pouso, e ao verificar os tanques, o piloto constatou que o combustível nos tanques era compatível com o planejado. A decolagem para Caruaru ocorreu após o nascer do sol do dia seguinte.",18:14:00,null,0,2,"-9,16667",0,0,0,0,0,0,0,0,0,0,0,0,"-35,5",PTBXF,150E,MATRIZ DE CAMARAGIBE,CESSNA AIRCRAFT,2429/2013,5611,2,Voo de Instrução,BRAS FLIGHT ESCOLA BRASILEIRA DE AVIAÇÃO CIVIL LTDA,BRAS FLIGHT ESCOLA BRASILEIRA DE AVIACAO CIVIL LTDA,726,verdadeiro,Nordeste,C150,null,OTHR,AL
,,L2P,TPP,Acidente,null,2001-09-22,null,null,"A aeronave decolou do Aeroporto de Rio Branco - AC (SBRB) com destino ao município de Santa Rosa do Purus, com cinco pessoas a bordo. Com aproximadamente 30 minutos de vôo, um dos passageiros observou um vazamento de óleo no motor esquerdo, informando ao piloto, que decidiu retornar a Rio Branco. Durante o retorno, a aeronave começou a perder altura, culminando em um impacto com solo. O acidente causou ferimentos leves em todos os seus ocupantes e danos graves à aeronave.",null,null,0,0,null,0,0,0,0,0,0,0,0,0,4,0,1,null,PTKTQ,BN-2A-27,null,BRITTEN-NORMAN,/2001,4760,10,Voo Privado,CENTRO DE TRABALHO INDIGENISTA,CENTRO DE TRABALHO INDIGENISTA,2885,verdadeiro,null,BN2P,null,null,Indeterminado
SBCG,SSDO,L2P,TPX,Acidente,null,2008-01-31,EXCURSÃO DE PISTA,null,"Houve purpoise durante o pouso. Ao tentar arremeter, o motor esquerdo não respondeu, fazendo com que a ANV saísse para a esquerda. O trem esquerdo quebrou e foi lançado para a direita, fora da pista. A ANV saiu para a esquerda, na área gramada.",null,null,1,1,null,0,0,0,0,0,0,0,0,0,0,0,0,null,PTVIR,EMB-810D,null,NEIVA,/2008,5240,6,Táxi Aéreo,SONIA DE SOUZA STIVAL BANDEIRA,SONIA DE SOUZA STIVAL BANDEIRA,2155,verdadeiro,null,PA34,null,RE,Indeterminado
SBJD,SBJD,L1P,PRI,Acidente,null,2008-10-25,PERDA DE CONTROLE NO SOLO,null,"APÓS AUTORIZAÇÃO DE DECOLAGEM PARA O REBOQUE COM O PLANADOR PT-ZKC (TIPO PW5), FOI OBSERVADO QUE A CAUDA DA REFERIDA AERONAVE ELEVOU-SE DEMASIADAMENTE, SIMULTANEAMENTE O CABO FOI DESCONECTADO PELO PLANADOR OCASIONANDO A COLISÃO DO NARIZ DA AERONAVE COM O SOLO.",20:40:00,null,1,1,null,0,0,0,0,0,0,0,0,0,0,0,0,null,PPHRS,56-C-1,null,NEIVA,/2008,5459,2,Voo de Instrução,AEROCLUBE POLITEC.DE PLANADORES,AEROCLUBE POLITEC.DE PLANADORES,630,verdadeiro,null,PAUL,null,LOC-G,Indeterminado
,,L00,PRI,Acidente,null,2007-06-15,null,Decolagem,"APÓS A DECOLAGEM, COM SUBIDA A 70 M.P.H, À UMA ALTURA DE 400AGL, HOUVE O DESLIGAMENTO DO REBOCADOR COM O PLANADOR, O QUAL ADOTOU UMA CURVA ACENTUADA À ESQUERDA, EM FORMA DE ESPIRAL, VINDO A COLIDIR COM O SOLO.",null,null,0,0,null,0,0,0,0,0,2,0,0,0,0,0,0,null,PPFII,IPE-02B,null,IPE,/2007,5169,2,Voo de Instrução,AEROCLUBE DE ITAPOLIS,AEROCLUBE DE ITAPOLIS,565,verdadeiro,null,GLID,null,null,Indeterminado
